"brand_name","state_abbr","technology","provider_id","cnt_services","cnt_bcat_locations","count"
"HughesNet","SC",60,"130627 ","2153216","2153216","115784"
"Starlink","SC",61,"430076 ","2153202","2153202","115784"
"VERIZON","FL",71,"131425 ","2100705","2007109","201742"
"Starlink","MN",61,"430076 ","2098296","2098296","155027"
"HughesNet","MN",60,"130627 ","2097625","2097625","154953"
"AT&T Inc","IL",10,"130077 ","2078669","2078669","144717"
"Verizon","NY",50,"131425 ","2047713","2047713","94589"
"Viasat, Inc.","UT",60,"290111 ","2037504","1018752","52066"
"T-Mobile US","VA",71,"130403 ","2001741","2001741","101454"
"T-Mobile US","TN",71,"130403 ","1990034","1990034","122334"
"Starlink","CO",61,"430076 ","1968850","1968850","110412"
"HughesNet","CO",60,"130627 ","1968333","1968333","110356"
"Viasat, Inc.","NV",60,"290111 ","1967690","983845","38784"
"HughesNet","MA",60,"130627 ","1954659","1954659","91867"
"Xfinity","GA",40,"130317 ","1943964","1943964","68052"
"Starlink","MA",61,"430076 ","1937848","1937848","91096"
"AT&T Inc","MI",10,"130077 ","1915507","1915507","107849"
"T-Mobile US","NJ",71,"130403 ","1886110","1886110","102354"
"Starlink","LA",61,"430076 ","1875824","1875824","101518"
"AT&T Inc","CA",50,"130077 ","1875677","1875677","88534"
"HughesNet","LA",60,"130627 ","1875008","1875008","101393"
"HughesNet","MD",60,"130627 ","1857140","1857140","68748"
"Starlink","KY",61,"430076 ","1850946","1850946","100064"
"HughesNet","KY",60,"130627 ","1850703","1850703","100050"
"Xfinity","TX",40,"130317 ","1826166","1826166","60553"
"Viasat, Inc.","WV",60,"290111 ","1813742","906871","56948"
"Verizon","PA",50,"131425 ","1788590","1788590","80134"
"T-Mobile US","IN",71,"130403 ","1784279","1784279","137394"
"Starlink","MD",61,"430076 ","1776855","1776855","66264"
"CenturyLink","AZ",10,"130228 ","1765683","1765683","76032"
"T-Mobile US","MO",71,"130403 ","1728586","1728586","148781"
"Viasat, Inc.","NM",60,"290111 ","1721524","860762","63487"
"Starlink","OK",61,"430076 ","1698194","1698194","140333"
"HughesNet","OK",60,"130627 ","1697614","1697614","140269"
"Xfinity","WA",40,"130317 ","1696280","1696280","69193"
"T-Mobile US","WA",71,"130403 ","1660450","1660450","95190"
"Cox Communications","AZ",40,"130360 ","1659708","1659708","59269"
"T-Mobile US","SC",71,"130403 ","1647206","1647206","101656"
"Xfinity","MA",40,"130317 ","1626257","1626257","75696"
"Viasat, Inc.","NE",60,"290111 ","1595920","797960","96625"
"Optimum","NY",40,"130370 ","1581788","1581788","70813"
"T-Mobile US","AZ",71,"130403 ","1572145","1572145","78521"
"VERIZON","IL",71,"131425 ","1568771","1501375","213776"
"Xfinity","MD",40,"130317 ","1567775","1567775","55880"
"AT&T Inc","FL",50,"130077 ","1567474","1567474","59752"
"Xfinity","NJ",40,"130317 ","1559037","1559037","72440"
"AT&T Inc","OH",10,"130077 ","1558210","1558210","85074"
"T-Mobile US","MA",71,"130403 ","1551201","1551201","82231"
"UNITED STATES CELLULAR CORPORATION","WI",71,"131310 ","1549195","1549195","110166"
"AT&T Inc","GA",10,"130077 ","1541610","1541610","81046"
"FRONTIER","CA",50,"130258 ","1540992","1540992","61816"
"Charter Communications Inc","WI",40,"130235 ","1523857","1523857","87808"
"T-Mobile US","WI",71,"130403 ","1517350","1517350","121068"
"Starlink","OR",61,"430076 ","1504472","1504472","87465"
"HughesNet","OR",60,"130627 ","1503968","1503968","87366"
"Viasat, Inc.","ID",60,"290111 ","1464622","732311","51979"
"Xfinity","IN",40,"130317 ","1459721","1459721","80104"
"T-Mobile US","MD",71,"130403 ","1445001","1445001","60926"
"T-Mobile US","MN",71,"130403 ","1422511","1422511","123682"
"Verizon","NJ",50,"131425 ","1412567","1412567","69669"
"Xfinity","CO",40,"130317 ","1410425","1410425","61077"
"Starlink","IA",61,"430076 ","1372804","1372804","144695"
"HughesNet","IA",60,"130627 ","1372555","1372555","144682"
"T-Mobile US","AL",71,"130403 ","1366839","1366839","110562"
"VERIZON","OH",71,"131425 ","1362224","1303702","163904"
"Starlink","AR",61,"430076 ","1359249","1359249","99848"
"HughesNet","AR",60,"130627 ","1358890","1358890","99794"
"unWired Broadband","CA",70,"460087 ","1342277","1342277","62977"
"Xfinity","TN",40,"130317 ","1341033","1341033","59486"
"Rise Broadband","TX",70,"140048 ","1335855","1335855","89862"
"Starlink","MS",61,"430076 ","1319956","1319956","86275"
"HughesNet","MS",60,"130627 ","1319570","1319570","86235"
"CenturyLink","CO",10,"130228 ","1311780","1311780","82066"
"CenturyLink","FL",10,"130228 ","1267123","1267123","72499"
"Verizon","NY",10,"131425 ","1259815","1259815","120811"
"T-Mobile US","LA",71,"130403 ","1251448","1251448","79391"
"T-Mobile US","CO",71,"130403 ","1236364","1236364","76631"
"VERIZON","MI",71,"131425 ","1234910","1188730","137587"
"UNITED STATES CELLULAR CORPORATION","OK",71,"131310 ","1231232","1231232","96562"
"Xfinity","VA",40,"130317 ","1228724","1228724","52319"
"AT&T Inc","GA",50,"130077 ","1220907","1220907","39568"
"AT&T Inc","TN",10,"130077 ","1210780","1210780","71230"
"Verizon","PA",10,"131425 ","1207041","1207041","142499"
"UNITED STATES CELLULAR CORPORATION","IA",71,"131310 ","1206381","1206381","127001"
"Starlink","KS",61,"430076 ","1204182","1204182","134247"
"HughesNet","KS",60,"130627 ","1204049","1204049","134228"
"Viasat, Inc.","ME",60,"290111 ","1194324","597162","29865"
"HughesNet","PR",60,"130627 ","1179988","1179988","37194"
"Starlink","PR",61,"430076 ","1179890","1179890","37192"
"Optimum","TX",40,"130370 ","1176261","1176261","69652"
"T-Mobile US","KY",71,"130403 ","1174958","1174958","75982"
"Charter Communications Inc","SC",40,"130235 ","1169783","1169783","55816"
"CenturyLink","WA",10,"130228 ","1169029","1169029","70507"
"Charter Communications Inc","MO",40,"130235 ","1151734","1151734","57137"
"UNITED STATES CELLULAR CORPORATION","NC",71,"131310 ","1134974","1134974","68713"
"FRONTIER","FL",50,"130258 ","1131271","1131271","44358"
"Verizon","VA",50,"131425 ","1100608","1100608","34129"
"Charter Communications Inc","MI",40,"130235 ","1092166","1092166","60991"
"Starlink","CT",61,"430076 ","1091195","1091195","43644"
"HughesNet","CT",60,"130627 ","1091178","1091178","43642"
"Nextlink","TX",71,"290010 ","1079919","1079919","65568"
"Optimum","NY",50,"130370 ","1062154","1062154","53432"
"VERIZON","PA",71,"131425 ","1051183","1001844","181032"
"CenturyLink","MN",10,"130228 ","1047686","1047686","75439"
"Verizon","MD",50,"131425 ","1041506","1041506","31290"
"T-Mobile US","OK",71,"130403 ","1038775","1038775","94545"
"Viasat, Inc.","NH",60,"290111 ","1033052","516526","26708"
"Rapid Systems","FL",72,"180048 ","1025896","1025896","44826"
"Starlink","UT",61,"430076 ","1018752","1018752","52066"
"HughesNet","UT",60,"130627 ","1018752","1018752","52066"
"Brightspeed","NC",10,"470022 ","1014592","1014592","60957"
"VERIZON","NC",71,"131425 ","1004646","970669","123751"
"Charter Communications Inc","KY",40,"130235 ","1002688","1002688","44927"
"Starlink","NV",61,"430076 ","983845","983845","38784"
"HughesNet","NV",60,"130627 ","983503","983503","38700"
"Optimum","NJ",40,"130370 ","969752","969752","46052"
"T-Mobile US","OR",71,"130403 ","968268","968268","63612"
"Liberty","PR",40,"130741 ","951976","951976","29369"
"Claro","PR",10,"170001 ","943512","943512","34011"
"T-Mobile US","IA",71,"130403 ","941140","941140","114065"
"AIRFIBER WISP LLC","AZ",70,"330004 ","933847","933847","33908"
"VERIZON","NY",71,"131425 ","926729","869964","143110"
"AT&T Inc","NC",10,"130077 ","911408","911408","51809"
"HughesNet","WV",60,"130627 ","906863","906863","56947"
"Everstream","OH",50,"330025 ","898879","898879","51571"
"Charter Communications Inc","AL",40,"130235 ","898269","898269","59324"
"VERIZON","AZ",71,"131425 ","896527","840507","77103"
"Starlink","WV",61,"430076 ","878056","878056","54696"
"AT&T Inc","IN",10,"130077 ","861729","861729","62438"
"HughesNet","NM",60,"130627 ","860765","860765","63487"
"Starlink","NM",61,"430076 ","855924","855924","63110"
"Foremost Telecommunications","TX",50,"190256 ","854114","427057","22569"
"T-Mobile US","AR",71,"130403 ","853993","853993","74049"
"AT&T Inc","LA",10,"130077 ","847910","847910","58201"
"AT&T Inc","NC",50,"130077 ","840231","840231","32761"
"Verizon","MA",50,"131425 ","833752","833752","40388"
"T-Mobile US","KS",71,"130403 ","825349","825349","95863"
"T-Mobile US","CT",71,"130403 ","822805","822805","39101"
"Cox Communications","CA",40,"130360 ","821555","821555","25036"
"Cox Communications","VA",40,"130360 ","811152","811152","27502"
"T-Mobile US","MS",71,"130403 ","807042","807042","68139"
"VERIZON","IN",71,"131425 ","803189","772045","117515"
"Viasat, Inc.","DE",60,"290111 ","802844","401422","16376"
"Mediacom_Iowa_LLC","IA",40,"130804 ","801046","801046","54384"
"VERIZON","GA",71,"131425 ","800687","771973","108608"
"altafiber Network Solutions","OH",50,"130254 ","798938","399469","12721"
"Viasat, Inc.","SD",60,"290111 ","798342","399171","51945"
"Starlink","NE",61,"430076 ","797949","797949","96624"
"Verizon","NJ",10,"131425 ","797765","797765","71589"
"HughesNet","NE",60,"130627 ","797310","797310","96576"
"AT&T Inc","AL",10,"130077 ","792099","792099","65154"
"Gutierrez-Palmenberg  Inc.","AZ",71,"300063 ","782829","782829","32228"
"Xfinity","OR",40,"130317 ","770292","770292","36424"
"Charter Communications Inc","TN",40,"130235 ","765990","765990","43873"
"VERIZON","TN",71,"131425 ","756886","716130","94087"
"DM Wireless LLC","PR",70,"390155 ","755124","755124","28968"
"AT&T Inc","WI",10,"130077 ","754643","754643","47363"
"Verizon","MA",10,"131425 ","752665","752665","67027"
"Xfinity","MN",40,"130317 ","743714","743714","32619"
"Starlink","ID",61,"430076 ","738033","738033","52359"
"HughesNet","ID",60,"130627 ","737566","737566","52258"
"Xfinity","UT",40,"130317 ","730535","730535","31198"
"Unwired Ltd","CA",70,"131400 ","728069","728069","27474"
"Cox Communications","LA",40,"130360 ","724243","724243","33043"
"AT&T Inc","SC",10,"130077 ","722728","722728","47824"
"WOW Internet, Cable & Phone","MI",40,"131480 ","720494","720494","28441"
"FRONTIER","TX",50,"130258 ","701463","701463","30846"
"Nextlink","TX",70,"290010 ","695824","695824","65048"
"CenturyLink","OR",10,"130228 ","690271","690271","49067"
"Believe Broadband","MD",70,"290016 ","689487","689487","25958"
"T-Mobile US","UT",71,"130403 ","689292","689292","37922"
"LV.Net","NV",70,"290065 ","684622","684622","20909"
"Viasat, Inc.","RI",60,"290111 ","677806","338903","22321"
"AT&T Inc","TN",50,"130077 ","676470","676470","29120"
"Cox Communications","OK",40,"130360 ","669639","669639","28626"
