"geoid_bl","tot_loc","cnt_ms"
"500059579002070",4,"6"
"500059579002071",1,"1"
"500059579002072",NULL,"0"
"500059579002073",NULL,"0"
"500059579002074",NULL,"0"
"500059579002075",1,"0"
"500059579002076",NULL,"0"
"500059579002077",NULL,"0"
"500059579002078",NULL,"0"
"500059579002079",1,"5"
"500059579002080",NULL,"0"
"500059579002081",11,"20"
"500059579002082",NULL,"0"
"500059579002083",NULL,"0"
"500059579002084",24,"33"
"500059579002085",3,"2"
"500059579002086",3,"5"
"500059579002087",1,"1"
"500059579002088",8,"11"
"500059579002089",2,"4"
"500059579002090",1,"2"
"500059579002091",7,"9"
"500059579002092",1,"2"
"500059579002093",9,"11"
"500059579002094",7,"11"
"500059579002095",11,"10"
"500059579002096",12,"21"
"500059579002097",7,"9"
"500059579002098",2,"2"
"500059579002099",4,"6"
"500059579002100",3,"5"
"500059579002101",5,"9"
"500059579002102",NULL,"0"
"500059579002103",NULL,"0"
"500059579002104",8,"9"
"500059579002105",5,"6"
"500059579002106",6,"6"
"500059579002107",NULL,"0"
"500059579002108",5,"6"
"500059579002109",21,"27"
"500059579002110",2,"3"
"500059579002111",7,"11"
"500059579002112",NULL,"0"
"500059579002113",NULL,"0"
"500059579002114",14,"48"
"500059579002115",1,"2"
"500059579002116",4,"9"
"500059579002117",NULL,"0"
"500059579002118",8,"15"
"500059579002119",2,"1"
"500059579002120",2,"6"
"500059579002121",NULL,"0"
"500059579002122",NULL,"0"
"500059579002123",NULL,"0"
"500059579002124",NULL,"1"
"500059579002125",NULL,"0"
"500059579002126",2,"2"
"500059579002127",NULL,"0"
"500059579002128",NULL,"0"
"500059579002129",4,"4"
"500059579002130",5,"12"
"500059579002131",2,"4"
"500059579002132",NULL,"0"
"500059579002133",NULL,"0"
"500059579002134",NULL,"0"
"500059579002135",NULL,"0"
"500059579002136",NULL,"0"
"500059579002137",15,"18"
"500059579002138",4,"5"
"500059579002139",7,"11"
"500059579002140",NULL,"0"
"500059579002141",2,"2"
"500059579003000",3,"4"
"500059579003001",NULL,"0"
"500059579003002",NULL,"0"
"500059579003003",1,"1"
"500059579003004",NULL,"0"
"500059579003005",NULL,"1"
"500059579003006",1,"2"
"500059579003007",1,"2"
"500059579003008",NULL,"0"
"500059579003009",4,"6"
"500059579003010",5,"6"
"500059579003011",5,"10"
"500059579003012",2,"3"
"500059579003013",1,"1"
"500059579003014",3,"3"
"500059579003015",3,"0"
"500059579003016",62,"54"
"500059579003017",NULL,"3"
"500059579003018",20,"23"
"500059579003019",1,"1"
"500059579003020",24,"33"
"500059579003021",8,"8"
"500059579003022",32,"23"
"500059579003023",NULL,"0"
"500059579003024",2,"1"
"500059579003025",14,"23"
"500059579003026",NULL,"0"
"500059579003027",10,"7"
"500059579003028",80,"49"
"500059579003029",5,"4"
"500059579003030",28,"56"
"500059579003031",NULL,"0"
"500059579003032",1,"2"
"500059579003033",9,"13"
"500059579003034",3,"4"
"500059579003035",3,"5"
"500059579003036",5,"8"
"500059579003037",2,"1"
"500059579003038",5,"5"
"500059579003039",1,"1"
"500059579003040",2,"4"
"500059579003041",14,"22"
"500059579003042",2,"4"
"500059579003043",2,"1"
"500059579003044",1,"2"
"500059579003045",NULL,"0"
"500059579003046",NULL,"0"
"500059579003047",8,"9"
"500059579003048",1,"1"
"500059579003049",3,"3"
"500059579003050",NULL,"0"
"500059579003051",NULL,"0"
"500059579003052",5,"14"
"500059579003053",2,"4"
"500059579003054",14,"22"
"500059579003055",2,"2"
"500059579003056",3,"6"
"500059579003057",4,"4"
"500059579003058",2,"1"
"500059579003059",NULL,"0"
"500059579003060",2,"8"
"500059579003061",4,"8"
"500059579003062",1,"6"
"500059579003063",NULL,"0"
"500059579003064",6,"16"
"500059579003065",3,"8"
"500059579003066",NULL,"0"
"500059579003067",1,"0"
"500059579003068",1,"2"
"500059579003069",1,"4"
"500059579003070",9,"22"
"500059579003071",9,"30"
"500059579003072",13,"36"
"500059579003073",NULL,"0"
"500059579003074",2,"5"
"500059579003075",2,"4"
"500059579003076",2,"3"
"500059579003077",10,"14"
"500059579003078",10,"34"
"500059579003079",11,"30"
"500059579003080",8,"18"
"500059579003081",1,"2"
"500059579003082",4,"10"
"500059579003083",3,"12"
"500059579003084",1,"4"
"500059579003085",1,"4"
"500059579003086",NULL,"1"
"500070001001000",164,"169"
"500070001001001",25,"25"
"500070001001002",11,"11"
"500070001001003",32,"33"
"500070001001004",20,"19"
"500070001001005",9,"9"
"500070001001006",71,"71"
"500070001001007",13,"13"
"500070001001008",20,"21"
"500070001001009",113,"113"
"500070001001010",3,"0"
"500070001001011",41,"37"
"500070001001012",10,"11"
"500070001001013",12,"11"
"500070001001014",18,"18"
"500070001001015",27,"27"
"500070001001016",19,"23"
"500070001001017",NULL,"0"
"500070001002000",237,"248"
"500070001002001",8,"8"
"500070001002002",30,"32"
"500070001002003",38,"40"
"500070001002004",16,"19"
"500070001002005",9,"9"
"500070001002006",14,"15"
"500070001002007",25,"25"
"500070001002008",21,"21"
"500070001002009",25,"25"
"500070001002010",42,"50"
"500070001002011",6,"6"
"500070001002012",14,"15"
"500070001003000",NULL,"0"
"500070001003001",28,"29"
"500070001003002",NULL,"0"
"500070001003003",15,"15"
"500070001003004",11,"11"
"500070001003005",98,"102"
"500070001003006",25,"25"
"500070001003007",14,"14"
"500070001003008",7,"7"
"500070001003009",32,"33"
"500070001003010",77,"92"
"500070001003011",7,"7"
"500070001003012",19,"19"
"500070001003013",19,"21"
"500070001003014",23,"23"
"500070001003015",9,"9"
"500070002001000",NULL,"0"
"500070002001001",35,"41"
"500070002001002",17,"18"
"500070002001003",36,"38"
"500070002001004",4,"5"
"500070002001005",187,"186"
"500070002001006",12,"14"
"500070002001007",8,"8"
"500070002001008",1,"2"
"500070002002000",76,"87"
"500070002002001",61,"61"
"500070002002002",12,"13"
"500070002002003",43,"45"
"500070002002004",186,"196"
"500070002002005",24,"23"
"500070002002006",29,"33"
"500070002002007",76,"78"
"500070002002008",73,"74"
"500070002003000",157,"144"
"500070002003001",15,"14"
"500070002003002",17,"17"
"500070002003003",5,"5"
"500070002003004",32,"31"
"500070002003005",27,"27"
"500070002003006",21,"21"
"500070002003007",54,"49"
"500070002003008",8,"8"
"500070002003009",10,"10"
"500070002003010",NULL,"0"
"500070002003011",12,"17"
"500070002003012",NULL,"0"
"500070002003013",1,"0"
"500070002003014",NULL,"0"
"500070002003015",NULL,"0"
"500070002004000",NULL,"0"
"500070002004001",NULL,"0"
"500070002004002",NULL,"0"
"500070002004003",16,"16"
"500070002004004",7,"22"
"500070002004005",29,"36"
"500070002004006",NULL,"0"
"500070002005000",75,"77"
"500070002005001",18,"18"
"500070002005002",8,"10"
"500070002005003",64,"61"
"500070002005004",17,"17"
"500070002005005",9,"9"
"500070002005006",14,"14"
"500070002005007",8,"8"
"500070002005008",22,"22"
"500070002005009",11,"11"
"500070002005010",16,"16"
"500070002005011",67,"73"
"500070002005012",12,"12"
"500070002005013",NULL,"1"
"500070002005014",42,"42"
"500070002005015",26,"25"
"500070002005016",12,"12"
"500070002005017",83,"82"
"500070003001000",9,"12"
"500070003001001",38,"40"
"500070003001002",37,"37"
"500070003001003",30,"36"
"500070003001004",20,"23"
"500070003001005",23,"19"
"500070003001006",21,"23"
"500070003001007",29,"22"
"500070003001008",44,"38"
"500070003002000",15,"17"
"500070003002001",64,"66"
"500070003002002",14,"16"
"500070003002003",35,"37"
"500070003002004",7,"8"
"500070003002005",36,"37"
"500070003002006",NULL,"2"
"500070003002007",2,"3"
"500070003002008",15,"14"
"500070003002009",11,"12"
"500070003002010",17,"16"
"500070003002011",12,"13"
"500070003002012",43,"56"
"500070003002013",23,"25"
"500070003002014",30,"30"
"500070003002015",13,"12"
"500070003002016",20,"23"
"500070003002017",20,"20"
"500070003003000",NULL,"0"
"500070003003001",NULL,"0"
"500070003003002",NULL,"0"
"500070003003003",1,"5"
"500070003003004",NULL,"0"
"500070003003005",NULL,"0"
"500070003003006",10,"41"
"500070003003007",NULL,"0"
"500070003003008",NULL,"0"
"500070003003009",NULL,"0"
"500070003003010",NULL,"0"
"500070003004000",19,"17"
"500070003004001",1,"1"
"500070003004002",45,"49"
"500070003004003",14,"15"
"500070003004004",39,"40"
"500070003004005",18,"17"
"500070003004006",23,"24"
"500070003005000",5,"3"
"500070003005001",19,"21"
"500070003005002",14,"15"
"500070003005003",8,"10"
"500070003005004",14,"15"
"500070003005005",10,"11"
"500070003005006",13,"14"
"500070003005007",22,"24"
"500070003005008",1,"1"
"500070003005009",NULL,"1"
"500070003005010",5,"6"
"500070003005011",19,"16"
"500070003005012",9,"11"
"500070003005013",30,"28"
"500070003005014",18,"18"
"500070003005015",NULL,"0"
"500070003005016",29,"29"
"500070003005017",29,"27"
"500070003005018",18,"22"
"500070003005019",26,"24"
"500070003005020",NULL,"0"
"500070006001000",NULL,"0"
"500070006001001",30,"30"
"500070006001002",51,"40"
"500070006001003",18,"18"
"500070006001004",132,"156"
"500070006001005",NULL,"11"
"500070006001006",1,"1"
"500070006001007",25,"12"
"500070006001008",2,"4"
"500070006001009",NULL,"0"
"500070006001010",NULL,"2"
"500070006001011",58,"64"
"500070006002000",6,"10"
"500070006002001",NULL,"0"
"500070006002002",7,"8"
"500070006002003",NULL,"0"
"500070006002004",9,"11"
"500070006002005",12,"15"
"500070006002006",23,"26"
"500070006002007",3,"3"
"500070006003000",NULL,"0"
"500070006003001",58,"50"
"500070006003002",19,"18"
"500070006003003",2,"2"
"500070006003004",17,"18"
"500070006003005",6,"6"
"500070006003006",11,"10"
"500070006003007",18,"17"
"500070006003008",48,"53"
"500070006003009",44,"46"
"500070006003010",34,"30"
"500070006003011",48,"49"
"500070006003012",17,"14"
"500070006003013",30,"32"
"500070006003014",27,"27"
"500070006003015",NULL,"0"
"500070006003016",34,"35"
"500070008001000",5,"7"
"500070008001001",31,"29"
"500070008001002",21,"26"
"500070008001003",60,"59"
"500070008001004",28,"27"
"500070008001005",14,"17"
"500070008001006",40,"42"
"500070008001007",47,"50"
"500070008001008",48,"54"
"500070008001009",29,"31"
"500070008001010",73,"76"
"500070008001011",19,"16"
"500070008001012",20,"20"
"500070008001013",24,"24"
"500070008001014",18,"19"
"500070008001015",37,"48"
"500070008002000",10,"8"
"500070008002001",138,"140"
"500070008002002",15,"18"
"500070008002003",22,"21"
"500070008002004",17,"16"
"500070008002005",25,"25"
"500070008002006",18,"20"
"500070008002007",12,"14"
"500070008002008",27,"26"
"500070008002009",15,"15"
"500070009001000",2,"9"
"500070009001001",14,"15"
"500070009001002",17,"19"
"500070009001003",17,"18"
"500070009001004",22,"22"
"500070009001005",17,"16"
"500070009001006",17,"14"
"500070009001007",38,"41"
"500070009001008",29,"30"
"500070009001009",46,"48"
"500070009001010",NULL,"1"
"500070009001011",NULL,"3"
"500070009001012",NULL,"6"
"500070009002000",19,"21"
"500070009002001",47,"54"
"500070009002002",31,"32"
"500070009002003",26,"26"
"500070009002004",24,"23"
"500070009002005",19,"19"
"500070009002006",23,"24"
"500070009002007",24,"26"
"500070010001000",26,"26"
"500070010001001",24,"44"
"500070010001002",NULL,"0"
"500070010001003",1,"13"
"500070010001004",NULL,"0"
"500070010001005",16,"18"
"500070010001006",58,"65"
"500070010001007",13,"11"
"500070010001008",5,"4"
"500070010001009",4,"24"
"500070010001010",7,"7"
"500070010002000",20,"3"
"500070010002001",6,"6"
"500070010002002",6,"7"
"500070010002003",2,"3"
"500070010002004",11,"12"
"500070010002005",1,"1"
"500070010002006",4,"10"
"500070010002007",6,"2"
"500070010002008",10,"6"
"500070010002009",1,"1"
"500070010002010",4,"29"
"500070010002011",NULL,"1"
"500070010002012",11,"11"
"500070010002013",10,"1"
"500070010002014",15,"3"
"500070010002015",2,"2"
"500070010003000",17,"1"
"500070010003001",3,"2"
"500070010003002",13,"4"
"500070010003003",11,"11"
"500070010003004",3,"4"
"500070010003005",1,"2"
"500070010003006",4,"4"
"500070010003007",6,"8"
"500070010003008",2,"1"
"500070010003009",NULL,"0"
"500070010003010",NULL,"1"
"500070010003011",1,"2"
"500070010003012",12,"9"
"500070010003013",15,"11"
"500070010003014",18,"14"
"500070010003015",6,"6"
"500070010003016",12,"6"
"500070010003017",6,"6"
"500070010003018",10,"9"
"500070010003019",13,"14"
"500070010003020",20,"13"
"500070010003021",23,"24"
"500070011001000",18,"24"
"500070011001001",17,"17"
"500070011001002",16,"20"
"500070011001003",6,"11"
"500070011001004",9,"12"
"500070011001005",8,"14"
"500070011001006",13,"14"
"500070011001007",16,"18"
"500070011001008",14,"15"
"500070011001009",18,"17"
"500070011001010",19,"20"
"500070011001011",21,"21"
"500070011001012",17,"18"
"500070011001013",15,"13"
"500070011001014",15,"15"
"500070011001015",9,"9"
"500070011001016",14,"14"
"500070011001017",21,"23"
"500070011001018",20,"21"
"500070011001019",15,"16"
"500070011001020",18,"17"
"500070011001021",29,"32"
"500070011001022",8,"5"
"500070011001023",13,"9"
"500070011001024",35,"37"
"500070011001025",21,"20"
"500070011001026",11,"11"
"500070011002000",32,"57"
"500070011002001",4,"5"
"500070011002002",132,"132"
"500070011002003",11,"11"
"500070011002004",9,"10"
"500070011002005",23,"22"
"500070011002006",NULL,"0"
"500070011002007",3,"5"
"500070021011000",37,"52"
"500070021011001",11,"18"
"500070021011002",15,"27"
"500070021011003",5,"7"
"500070021011004",2,"2"
"500070021011005",19,"20"
"500070021011006",24,"22"
"500070021011007",14,"14"
"500070021011008",12,"15"
"500070021011009",62,"78"
"500070021011010",NULL,"3"
"500070021011011",2,"5"
"500070021011012",3,"11"
"500070021011013",6,"8"
"500070021011014",1,"3"
"500070021011015",NULL,"0"
"500070021011016",NULL,"0"
"500070021011017",NULL,"0"
"500070021011018",NULL,"1"
"500070021011019",NULL,"0"
"500070021011020",NULL,"0"
"500070021011021",25,"23"
"500070021011022",NULL,"1"
"500070021011023",1,"1"
"500070021011024",16,"24"
"500070021011025",58,"94"
"500070021011026",9,"12"
"500070021011027",3,"3"
"500070021011028",24,"15"
"500070021011029",38,"44"
"500070021011030",1,"1"
"500070021011031",7,"8"
"500070021011032",3,"3"
"500070021011033",1,"0"
"500070021011034",19,"28"
"500070021011035",40,"52"
"500070021011036",1,"2"
"500070021011037",40,"49"
"500070021011038",13,"25"
"500070021011039",3,"3"
"500070021011040",NULL,"0"
"500070021011041",17,"31"
"500070021011042",19,"38"
"500070021011043",33,"45"
"500070021011044",NULL,"0"
"500070021011045",NULL,"0"
"500070021011046",NULL,"0"
"500070021011047",NULL,"0"
"500070021011048",7,"8"
"500070021011049",1,"3"
"500070021011050",60,"72"
"500070021011051",8,"6"
"500070021012000",NULL,"0"
"500070021012001",5,"5"
"500070021012002",18,"18"
"500070021012003",2,"4"
"500070021012004",65,"72"
"500070021012005",3,"5"
"500070021012006",16,"19"
"500070021012007",3,"3"
"500070021012008",18,"18"
"500070021012009",1,"2"
"500070021012010",14,"18"
"500070021012011",8,"6"
"500070021012012",NULL,"0"
"500070021012013",NULL,"0"
"500070021012014",12,"16"
"500070021012015",3,"6"
"500070021012016",8,"8"
"500070021012017",NULL,"0"
"500070021012018",22,"25"
"500070021012019",23,"24"
"500070021012020",8,"8"
"500070021012021",2,"2"
"500070021012022",79,"98"
"500070021012023",NULL,"0"
"500070021012024",NULL,"0"
"500070021012025",NULL,"0"
"500070021012026",15,"26"
"500070021012027",7,"7"
"500070021012028",35,"34"
"500070021012029",17,"15"
"500070021012030",8,"10"
"500070021012031",6,"6"
"500070021012032",6,"6"
"500070021012033",37,"39"
"500070021012034",17,"16"
"500070021012035",NULL,"0"
"500070021012036",5,"4"
"500070021012037",11,"11"
"500070021012038",16,"16"
"500070021012039",3,"2"
"500070021031000",79,"96"
"500070021031001",NULL,"0"
"500070021031002",25,"32"
"500070021031003",44,"50"
"500070021031004",69,"78"
"500070021031005",15,"18"
"500070021031006",8,"9"
"500070021031007",8,"11"
"500070021031008",59,"64"
"500070021031009",23,"24"
"500070021031010",11,"15"
"500070021031011",34,"38"
"500070021031012",108,"108"
"500070021031013",NULL,"0"
"500070021031014",2,"2"
"500070021031015",15,"14"
"500070021031016",19,"22"
"500070021031017",7,"9"
"500070021031018",59,"64"
"500070021031019",153,"162"
"500070021031020",23,"25"
"500070021031021",25,"20"
"500070021031022",22,"22"
"500070021031023",18,"17"
"500070021031024",10,"11"
"500070021031025",41,"42"
"500070021031026",8,"8"
"500070021031027",22,"26"
"500070021032000",NULL,"0"
"500070021032001",110,"145"
"500070021032002",2,"2"
"500070021032003",3,"3"
"500070021032004",3,"3"
"500070021032005",NULL,"0"
"500070021032006",2,"3"
"500070021032007",1,"1"
"500070021032008",2,"2"
"500070021032009",14,"12"
"500070021032010",1,"3"
"500070021032011",12,"18"
"500070021032012",5,"6"
"500070021032013",33,"43"
"500070021032014",2,"3"
"500070021032015",NULL,"0"
"500070021032016",10,"12"
"500070021032017",9,"13"
"500070021032018",81,"108"
"500070021032019",NULL,"1"
"500070021032020",4,"5"
"500070021032021",3,"1"
"500070021032022",2,"0"
"500070021032023",51,"92"
"500070021032024",9,"16"
"500070021032025",14,"16"
"500070021032026",1,"2"
"500070021032027",5,"7"
"500070021032028",41,"53"
"500070021032029",1,"2"
"500070021032030",NULL,"0"
"500070021032031",NULL,"0"
"500070021032032",42,"50"
"500070021032033",NULL,"0"
"500070021032034",7,"9"
"500070021032035",NULL,"0"
"500070021032036",NULL,"0"
"500070021032037",19,"22"
"500070021032038",11,"15"
"500070021032039",5,"5"
"500070021032040",4,"6"
"500070021032041",5,"6"
"500070021032042",2,"3"
"500070021032043",1,"1"
"500070021032044",3,"5"
"500070021032045",30,"30"
"500070021032046",5,"5"
"500070021032047",31,"28"
"500070021032048",6,"4"
"500070021032049",7,"5"
"500070021032050",1,"3"
"500070021032051",33,"52"
"500070021032052",1,"0"
"500070021032053",2,"4"
"500070021032054",15,"25"
"500070021041000",54,"80"
"500070021041001",3,"3"
"500070021041002",NULL,"0"
"500070021041003",43,"56"
"500070021041004",NULL,"0"
"500070021041005",2,"3"
"500070021041006",3,"4"
"500070021041007",2,"3"
"500070021041008",40,"46"
"500070021041009",28,"28"
"500070021041010",1,"1"
"500070021041011",2,"7"
"500070021041012",14,"16"
"500070021041013",11,"13"
"500070021041014",130,"152"
"500070021041015",15,"15"
"500070021041016",7,"7"
"500070021041017",31,"33"
"500070021041018",13,"16"
"500070021041019",10,"15"
"500070021041020",1,"2"
"500070021041021",27,"32"
"500070021041022",3,"3"
"500070021041023",10,"11"
"500070021041024",58,"62"
"500070021041025",8,"8"
"500070021041026",10,"8"
"500070021041027",17,"24"
"500070021041028",2,"2"
"500070021041029",1,"1"
"500070021041030",5,"4"
"500070021041031",7,"11"
"500070021041032",10,"10"
"500070021041033",8,"8"
"500070021041034",2,"2"
"500070021042000",NULL,"0"
"500070021042001",8,"7"
"500070021042002",6,"8"
"500070021042003",67,"67"
"500070021042004",6,"5"
"500070021042005",28,"28"
"500070021042006",NULL,"0"
"500070021042007",NULL,"0"
"500070021042008",NULL,"0"
"500070021042009",195,"210"
"500070021042010",8,"8"
"500070021042011",10,"10"
"500070021042012",11,"11"
"500070021042013",7,"6"
"500070021042014",NULL,"0"
"500070021042015",14,"16"
"500070021042016",13,"13"
"500070021042017",22,"23"
"500070021042018",3,"4"
"500070021043000",10,"10"
"500070021043001",9,"8"
"500070021043002",19,"17"
"500070021043003",25,"25"
"500070021043004",12,"16"
"500070021043005",NULL,"0"
"500070021043006",13,"11"
"500070021043007",2,"1"
"500070021043008",15,"13"
"500070021043009",NULL,"0"
"500070021043010",1,"1"
"500070021043011",1,"2"
"500070021043012",48,"53"
"500070021043013",17,"17"
"500070021043014",24,"25"
"500070021043015",52,"61"
"500070021043016",10,"11"
"500070021043017",18,"19"
"500070021043018",26,"36"
"500070022011000",2,"23"
"500070022011001",NULL,"3"
"500070022011002",NULL,"0"
"500070022011003",NULL,"15"
"500070022012000",1,"29"
"500070022012001",NULL,"2"
"500070022012002",NULL,"0"
"500070022012003",NULL,"11"
"500070022012004",NULL,"0"
"500070022012005",NULL,"10"
"500070022012006",2,"16"
"500070022013000",NULL,"0"
"500070022013001",55,"64"
"500070022013002",25,"24"
"500070022013003",10,"10"
"500070022013004",12,"13"
"500070022013005",3,"5"
"500070022013006",NULL,"2"
"500070022013007",6,"8"
"500070022013008",NULL,"0"
"500070022013009",5,"6"
"500070022013010",8,"15"
"500070022013011",NULL,"2"
"500070022013012",7,"11"
"500070022013013",NULL,"0"
"500070022013014",11,"30"
"500070022013015",NULL,"0"
"500070022013016",NULL,"0"
"500070022013017",11,"13"
"500070022013018",4,"5"
"500070022013019",5,"14"
"500070022014000",8,"20"
"500070022014001",1,"3"
"500070022014002",1,"4"
"500070022014003",3,"6"
"500070022014004",NULL,"2"
"500070022014005",4,"4"
"500070022014006",8,"12"
"500070022014007",8,"8"
"500070022014008",25,"25"
"500070022014009",8,"9"
"500070022014010",NULL,"0"
"500070022014011",2,"10"
"500070022014012",6,"8"
"500070022014013",NULL,"3"
"500070022014014",7,"10"
"500070022014015",1,"0"
"500070022014016",NULL,"0"
"500070022014017",9,"9"
"500070022014018",NULL,"12"
"500070022014019",NULL,"0"
"500070022014020",NULL,"0"
"500070022014021",5,"10"
"500070022014022",NULL,"0"
"500070022014023",NULL,"0"
"500070022014024",60,"65"
"500070022014025",21,"25"
"500070022014026",NULL,"0"
"500070022014027",NULL,"0"
"500070022014028",NULL,"0"
"500070022014029",11,"20"
"500070022014030",NULL,"0"
"500070022014031",1,"1"
"500070022014032",NULL,"0"
"500070022014033",NULL,"0"
"500070022014034",NULL,"0"
"500070022014035",NULL,"0"
"500070022021000",1,"3"
"500070022021001",1,"1"
"500070022021002",21,"33"
"500070022021003",NULL,"0"
"500070022021004",1,"2"
"500070022021005",NULL,"0"
"500070022021006",1,"2"
"500070022021007",1,"4"
"500070022021008",2,"4"
"500070022021009",8,"4"
"500070022021010",11,"18"
"500070022021011",11,"10"
"500070022021012",4,"3"
"500070022021013",7,"11"
"500070022021014",8,"9"
"500070022021015",3,"5"
"500070022021016",1,"1"
"500070022021017",15,"18"
"500070022021018",10,"16"
"500070022021019",1,"1"
"500070022021020",4,"5"
"500070022021021",13,"25"
"500070022021022",2,"6"
"500070022021023",9,"15"
"500070022021024",91,"87"
"500070022021025",16,"17"
"500070022021026",13,"14"
"500070022021027",15,"8"
"500070022021028",17,"15"
"500070022021029",13,"3"
"500070022021030",21,"21"
"500070022021031",4,"4"
"500070022021032",NULL,"0"
"500070022021033",NULL,"0"
"500070022021034",44,"49"
"500070022021035",23,"28"
"500070022021036",14,"14"
"500070022021037",NULL,"0"
"500070022021038",99,"124"
"500070022021039",18,"18"
"500070022021040",8,"9"
"500070022021041",17,"17"
"500070022021042",42,"61"
"500070022021043",12,"8"
"500070022021044",2,"3"
"500070022021045",47,"49"
"500070022021046",1,"1"
"500070022021047",26,"34"
"500070022021048",7,"7"
"500070022021049",27,"30"
"500070022021050",8,"8"
"500070022021051",40,"55"
"500070022022000",37,"44"
"500070022022001",1,"1"
"500070022022002",34,"29"
"500070022022003",11,"11"
"500070022022004",7,"7"
"500070022022005",NULL,"0"
"500070022022006",NULL,"0"
"500070022022007",10,"23"
"500070022022008",17,"25"
"500070022022009",105,"116"
"500070022022010",9,"9"
"500070022022011",30,"47"
"500070022022012",9,"9"
"500070022022013",13,"13"
"500070022022014",12,"12"
"500070022022015",5,"7"
"500070022022016",NULL,"0"
"500070022022017",NULL,"0"
"500070022022018",104,"117"
"500070022022019",18,"19"
"500070022022020",12,"12"
"500070022022021",NULL,"0"
"500070022022022",2,"2"
"500070022022023",12,"16"
"500070022022024",2,"2"
"500070022022025",16,"22"
"500070022022026",NULL,"0"
"500070022022027",19,"20"
"500070022022028",31,"31"
"500070022022029",NULL,"0"
"500070022022030",NULL,"0"
"500070022022031",38,"37"
"500070022022032",7,"7"
"500070022022033",82,"81"
"500070022022034",5,"3"
"500070022022035",29,"35"
"500070022022036",6,"6"
"500070022022037",NULL,"0"
"500070022022038",113,"116"
"500070022022039",16,"17"
"500070022022040",10,"10"
"500070022022041",5,"4"
"500070022022042",7,"5"
"500070022022043",14,"13"
"500070022022044",13,"9"
"500070022022045",NULL,"0"
"500070022022046",9,"9"
"500070022022047",7,"7"
"500070022022048",6,"6"
"500070022022049",7,"7"
"500070023011000",13,"15"
"500070023011001",6,"6"
"500070023011002",NULL,"0"
"500070023011003",6,"6"
"500070023011004",13,"22"
"500070023011005",11,"12"
"500070023011006",NULL,"0"
"500070023011007",31,"36"
"500070023011008",14,"17"
"500070023011009",11,"11"
"500070023011010",NULL,"0"
"500070023011011",NULL,"0"
"500070023011012",NULL,"0"
"500070023011013",53,"85"
"500070023011014",10,"12"
"500070023011015",53,"70"
"500070023011016",2,"4"
"500070023011017",3,"4"
"500070023011018",57,"61"
"500070023011019",31,"48"
"500070023011020",3,"6"
"500070023011021",37,"18"
"500070023011022",1,"1"
"500070023011023",38,"36"
"500070023011024",17,"7"
"500070023011025",7,"13"
"500070023011026",NULL,"0"
"500070023011027",1,"1"
"500070023011028",NULL,"0"
"500070023011029",13,"4"
"500070023011030",8,"8"
"500070023011031",NULL,"0"
"500070023011032",NULL,"0"
"500070023011033",NULL,"0"
"500070023011034",NULL,"0"
"500070023011035",NULL,"0"
"500070023011036",5,"9"
"500070023011037",1,"4"
"500070023011038",2,"3"
"500070023011039",NULL,"0"
"500070023011040",NULL,"0"
"500070023011041",14,"21"
"500070023011042",7,"7"
"500070023011043",NULL,"0"
"500070023011044",4,"103"
"500070023011045",36,"36"
"500070023011046",NULL,"2"
"500070023011047",9,"32"
"500070023011048",7,"7"
"500070023011049",2,"3"
"500070023031000",NULL,"0"
"500070023031001",NULL,"0"
"500070023031002",NULL,"1"
"500070023031003",351,"361"
"500070023031004",18,"20"
"500070023031005",9,"10"
"500070023031006",34,"38"
"500070023031007",9,"10"
"500070023031008",57,"57"
"500070023031009",27,"26"
"500070023031010",75,"80"
"500070023031011",268,"303"
"500070023031012",18,"22"
"500070023031013",NULL,"0"
"500070023031014",17,"17"
"500070023031015",16,"16"
"500070023031016",10,"10"
"500070023031017",NULL,"0"
"500070023031018",2,"8"
"500070023031019",NULL,"0"
"500070023031020",14,"13"
"500070023031021",13,"14"
"500070023031022",17,"18"
"500070023031023",9,"9"
"500070023032000",NULL,"4"
"500070023032001",NULL,"0"
"500070023032002",216,"227"
"500070023032003",14,"9"
"500070023032004",5,"8"
"500070023033000",134,"158"
"500070023033001",8,"9"
"500070023033002",NULL,"0"
"500070023033003",18,"20"
"500070023033004",13,"13"
"500070023033005",11,"12"
"500070023033006",289,"303"
"500070023033007",16,"17"
"500070023033008",13,"13"
"500070023033009",18,"19"
"500070023033010",14,"14"
"500070023033011",11,"11"
"500070023033012",14,"14"
"500070023033013",11,"13"
"500070023033014",41,"49"
"500070023033015",12,"12"
"500070023033016",94,"96"
"500070023033017",11,"11"
"500070023033018",2,"3"
"500070023033019",23,"26"
"500070023033020",68,"89"
"500070023033021",8,"9"
"500070023033022",NULL,"0"
"500070023041000",NULL,"2"
"500070023041001",42,"48"
"500070023041002",6,"12"
"500070023041003",214,"221"
"500070023041004",11,"12"
"500070023041005",20,"22"
"500070023041006",8,"8"
"500070023041007",NULL,"0"
"500070023041008",NULL,"0"
"500070023041009",23,"35"
"500070023041010",NULL,"0"
"500070023041011",NULL,"0"
"500070023041012",13,"15"
"500070023041013",83,"85"
"500070023041014",12,"12"
"500070023041015",32,"29"
"500070023041016",51,"48"
"500070023042000",NULL,"4"
"500070023042001",35,"41"
"500070023042002",NULL,"2"
"500070023042003",40,"39"
"500070023042004",83,"69"
"500070023042005",8,"8"
"500070023042006",9,"9"
