"geoid_bl","tot_loc","cnt_ms"
"500019602001024",4,"6"
"500019602001025",115,"197"
"500019602001026",3,"3"
"500019602001027",13,"16"
"500019602001028",NULL,"0"
"500019602001029",13,"19"
"500019602001030",NULL,"0"
"500019602001031",6,"4"
"500019602001032",2,"0"
"500019602001033",1,"2"
"500019602001034",3,"5"
"500019602001035",4,"0"
"500019602001036",NULL,"0"
"500019602001037",5,"12"
"500019602001038",7,"10"
"500019602001039",NULL,"0"
"500019602001040",7,"8"
"500019602001041",25,"35"
"500019602001042",NULL,"0"
"500019602001043",4,"9"
"500019602001044",33,"58"
"500019602001045",NULL,"0"
"500019602001046",1,"2"
"500019602001047",NULL,"0"
"500019602001048",NULL,"0"
"500019602001049",1,"2"
"500019602001050",1,"1"
"500019602001051",6,"7"
"500019602001052",2,"2"
"500019602001053",8,"12"
"500019602001054",NULL,"0"
"500019602001055",2,"4"
"500019602001056",8,"15"
"500019602001057",7,"11"
"500019602001058",11,"23"
"500019602001059",18,"30"
"500019602001060",NULL,"0"
"500019602001061",4,"4"
"500019602001062",NULL,"0"
"500019602001063",5,"4"
"500019602001064",14,"29"
"500019602001065",NULL,"0"
"500019602001066",NULL,"0"
"500019602001067",1,"2"
"500019602001068",16,"21"
"500019602001069",22,"34"
"500019602001070",15,"28"
"500019602001071",NULL,"0"
"500019602001072",2,"1"
"500019602001073",3,"4"
"500019602001074",NULL,"0"
"500019602001075",NULL,"1"
"500019602001076",4,"4"
"500019602001077",2,"3"
"500019602001078",2,"3"
"500019602001079",2,"5"
"500019602001080",6,"9"
"500019602001081",NULL,"0"
"500019602001082",3,"4"
"500019602001083",NULL,"0"
"500019602002000",9,"13"
"500019602002001",23,"29"
"500019602002002",3,"5"
"500019602002003",5,"12"
"500019602002004",3,"8"
"500019602002005",117,"86"
"500019602002006",3,"0"
"500019602002007",NULL,"0"
"500019602002008",10,"3"
"500019602002009",NULL,"0"
"500019602002010",NULL,"0"
"500019602002011",21,"30"
"500019602002012",1,"1"
"500019602002013",28,"41"
"500019602002014",3,"5"
"500019602002015",NULL,"0"
"500019602002016",10,"20"
"500019602002017",7,"12"
"500019602002018",15,"26"
"500019602002019",NULL,"0"
"500019602002020",NULL,"0"
"500019602002021",NULL,"0"
"500019602002022",2,"4"
"500019602002023",32,"43"
"500019602002024",NULL,"0"
"500019602002025",22,"40"
"500019602002026",34,"50"
"500019602002027",NULL,"11"
"500019602002028",NULL,"0"
"500019602002029",NULL,"0"
"500019602002030",9,"10"
"500019602002031",52,"90"
"500019602002032",199,"180"
"500019602002033",41,"54"
"500019602002034",20,"34"
"500019602002035",8,"17"
"500019602002036",NULL,"0"
"500019602002037",3,"7"
"500019602002038",NULL,"0"
"500019602002039",4,"9"
"500019602002040",10,"16"
"500019602002041",2,"5"
"500019602002042",12,"17"
"500019602002043",7,"12"
"500019602002044",2,"2"
"500019602002045",NULL,"0"
"500019602002046",8,"14"
"500019602002047",5,"10"
"500019602002048",NULL,"0"
"500019602002049",17,"36"
"500019602002050",40,"53"
"500019602002051",12,"17"
"500019602002052",6,"9"
"500019602002053",6,"8"
"500019602002054",15,"34"
"500019602002055",1,"0"
"500019602002056",4,"11"
"500019602002057",5,"19"
"500019602002058",NULL,"0"
"500019602002059",12,"15"
"500019602002060",NULL,"0"
"500019602002061",15,"35"
"500019602002062",NULL,"0"
"500019602002063",1,"1"
"500019602002064",2,"4"
"500019602002065",NULL,"0"
"500019602002066",NULL,"0"
"500019602002067",8,"19"
"500019602002068",NULL,"0"
"500019602002069",NULL,"0"
"500019602002070",7,"9"
"500019602002071",1,"1"
"500019602002072",12,"8"
"500019602002073",2,"3"
"500019602002074",2,"1"
