"state_abbr","brand_name","technology","count"
"AK","ALASKA COMMUNICATIONS",10,"61889"
"AK","ALASKA COMMUNICATIONS",50,"413"
"AK","ALASKA COMMUNICATIONS",70,"8489"
"AK","ALASKA COMMUNICATIONS",71,"5312"
"AK","Alaska Telephone Company",10,"4617"
"AK","Alaska Telephone Company",50,"1963"
"MN","Albany Mutual Telephone Association",10,"54"
"MN","Albany Mutual Telephone Association",50,"4174"
"TX","Alenco Communications, Inc.",10,"10"
"TX","Alenco Communications, Inc.",50,"3214"
"TX","Alenco Communications, Inc.",70,"29"
"PR","ALE-NET INC",70,"16544"
"IA","Algona Municipal Utilities",40,"2215"
"IA","Algona Municipal Utilities",50,"790"
"IL","Alhambra-Grantfork Telephone Company",50,"1497"
"CO","AlignTec Incorporated",50,"8"
"CO","AlignTec Incorporated",70,"14192"
"CO","AlignTec Incorporated",71,"1"
"IA","Allamakee-Clayton Electric Inc",50,"1126"
"IA","Allamakee-Clayton Electric Inc",70,"908"
"MI","Allband Communications Cooperative",50,"172"
"MI","Allband Multimedia",50,"2016"
"MI","Allband Multimedia",70,"287"
"LA","Allens Communications",40,"20319"
"LA","Allens Communications",50,"5121"
"IA","Alliance Communications Cooperative, Inc.",50,"2404"
"MN","Alliance Communications Cooperative, Inc.",50,"751"
"SD","Alliance Communications Cooperative, Inc.",50,"15739"
"DC","Allied Telecom Group, LLC",10,"115"
"DC","Allied Telecom Group, LLC",40,"6"
"DC","Allied Telecom Group, LLC",50,"100"
"MA","Allied Telecom Group, LLC",50,"1"
"MD","Allied Telecom Group, LLC",10,"24"
"MD","Allied Telecom Group, LLC",40,"5"
"MD","Allied Telecom Group, LLC",50,"52"
"NC","Allied Telecom Group, LLC",50,"1"
"NJ","Allied Telecom Group, LLC",50,"1"
"NY","Allied Telecom Group, LLC",50,"5"
"VA","Allied Telecom Group, LLC",10,"32"
"VA","Allied Telecom Group, LLC",50,"44"
"AZ","Allo Communications, LLC",50,"2449"
"CO","Allo Communications, LLC",50,"16407"
"NE","Allo Communications, LLC",50,"187616"
"IL","Allpoint NetworX, Inc.",40,"372"
"IL","Allpoint NetworX, Inc.",50,"1276"
"KY","All Points Broadband",50,"534"
"KY","All Points Broadband",70,"42863"
"MD","All Points Broadband",70,"5769"
"VA","All Points Broadband",50,"1442"
"VA","All Points Broadband",70,"56169"
"WV","All Points Broadband",70,"1236"
"CA","Allstream Business US, LLC",10,"1"
"CA","Allstream Business US, LLC",50,"2"
"CO","Allstream Business US, LLC",50,"2"
"MN","Allstream Business US, LLC",10,"57"
"MN","Allstream Business US, LLC",50,"30"
"MT","Allstream Business US, LLC",10,"2"
"WA","Allstream Business US, LLC",50,"1"
"UT","All West Communications",10,"7457"
"UT","All West Communications",50,"6627"
"UT","All West Communications",70,"47"
"WY","All West Communications",10,"379"
"WY","All West Communications",50,"309"
"WY","All West Communications",70,"23"
"UT","All West/Utah Inc.",50,"2263"
"WY","All West/Wyoming Inc.",40,"20020"
"WY","All West/Wyoming Inc.",50,"2267"
"WY","All West/Wyoming Inc.",70,"3"
"GA","Alma Telephone",10,"3640"
"GA","Alma Telephone",40,"3652"
"GA","Alma Telephone",50,"5573"
"MO","Alma Telephone Company",50,"392"
"WV","Alpha Technologies Inc.",50,"32"
"IA","Alpine Communications LC",72,"420"
"IA","Alpine Communications, LLC",10,"1342"
"IA","Alpine Communications, LLC",50,"5828"
"IN","altafiber Extended Territories",50,"5756"
"OH","altafiber Extended Territories",10,"521"
"OH","altafiber Extended Territories",40,"1779"
"OH","altafiber Extended Territories",50,"105468"
"IN","altafiber Network Solutions",10,"1822"
"IN","altafiber Network Solutions",50,"6380"
"KY","altafiber Network Solutions",10,"8734"
"KY","altafiber Network Solutions",50,"278014"
"OH","altafiber Network Solutions",10,"32467"
"OH","altafiber Network Solutions",50,"798938"
"GA","Altamaha Fiber",50,"7709"
"IA","ALTATEC",40,"451"
"TX","Alternative Internet Resources",70,"46377"
"NJ","Alteva Of Warwick, LLC",10,"7040"
"NJ","Alteva Of Warwick, LLC",50,"61"
"NY","Alteva Of Warwick, LLC",10,"24890"
"NY","Alteva Of Warwick, LLC",50,"1404"
"TX","Altitude ISP",70,"7638"
"TX","Altitude ISP",72,"592"
"ID","AlwaysOn Internet",70,"28228"
"ID","AlwaysOn Internet",71,"24248"
"OR","Alyrica",10,"35"
"OR","Alyrica",50,"1394"
"OR","Alyrica",70,"220737"
"OR","Alyrica",71,"195470"
"OR","Alyrica",72,"71799"
"TX","AMA TechTel Communications",10,"41"
"TX","AMA TechTel Communications",50,"412"
"TX","AMA TechTel Communications",70,"255"
"TX","AMA TechTel Communications",71,"55073"
"NY","Ambient",70,"8"
"TN","America Internet & Communications",70,"339"
"UT","American Fiber Inc.",10,"5315"
"UT","American Fiber Inc.",50,"1600"
"AS","American Samoa Telecommunications Authority",50,"8794"
"WI","Amery_Telcom_Inc",10,"142"
"WI","Amery_Telcom_Inc",40,"1761"
"WI","Amery_Telcom_Inc",50,"4286"
"OK","AMF Enterprises LLC. DBA WeConnect Broadband",70,"4254"
"WI","Amherst Telephone Company",10,"131"
"WI","Amherst Telephone Company",50,"9429"
"PR","AmigoNet",70,"6306"
"OH","Amplex Wireless",10,"63"
"OH","Amplex Wireless",50,"6571"
"OH","Amplex Wireless",70,"3014"
"OH","Amplex Wireless",71,"153102"
"OH","Amplex Wireless",72,"3272"
"FL","Andrena",50,"20"
"NJ","Andrena",50,"30"
"NJ","Andrena",70,"44"
"NJ","Andrena",71,"5"
"NY","Andrena",50,"14"
"NY","Andrena",70,"21"
"NY","Andrena",71,"1"
"PA","Andrena",50,"2"
"PA","Andrena",70,"5"
"IA","Andrew Telephone Company Inc",50,"396"
"MO","A Net LLC",70,"230"
"ID","Anthem Broadband",50,"889"
"ID","Anthem Broadband",70,"185449"
"ID","Anthem Broadband",71,"9858"
"ID","Anthem Broadband",72,"107735"
"MT","Anthem Broadband",50,"673"
"MT","Anthem Broadband",70,"1232"
"MT","Anthem Broadband",72,"130"
"OR","Anthem Broadband",70,"5090"
"OR","Anthem Broadband",72,"1231"
"NV","Anthem Broadband of Nevada",50,"15178"
"MD","Antietam Cable",40,"44695"
"MD","Antietam Cable",50,"8470"
"TX","ANTS-Technology| ANTS-Wifi| ANTS-Fiber",50,"222"
"TX","ANTS-Technology| ANTS-Wifi| ANTS-Fiber",70,"6736"
"TX","AnvilCommunications",70,"4966"
"CA","Anza Electric Cooperative, INC",50,"4114"
"CA","Anza Electric Cooperative, INC",70,"22"
"NE","APPLIED COMMUNICATIONS TECHNOLOGY, INC",10,"8"
"NE","APPLIED COMMUNICATIONS TECHNOLOGY, INC",40,"370"
"NE","APPLIED COMMUNICATIONS TECHNOLOGY, INC",50,"12"
"CA","Applied_Technology_Group_Inc",70,"216801"
"CA","Applied_Technology_Group_Inc.",70,"332"
"CA","Applied_Technology_Group_IncApplied_Technology_Group_Inc",70,"1"
"MO","Aptitude Internet LLC",50,"4813"
"MO","Aptitude Internet LLC",70,"8695"
"AK","AP&T Wireless, Inc.",50,"53"
"NE","Arapahoe Telephone Company",10,"2561"
"NE","Arapahoe Telephone Company",50,"1150"
"NE","Arapahoe Telephone Company",70,"40"
"NE","Arapahoe Telephone Company",71,"2381"
"NE","Arapahoe Telephone Company",72,"35"
"OK","Arbuckle Communications, LLC",70,"60638"
"OK","Arbuckle Communications, LLC",71,"77658"
"OK","Arbuckle Communications, LLC",72,"80800"
"AK","Arctic Slope Telephone Association Cooperative, Inc.",50,"2304"
"AL","Ardmore Telephone Company",10,"2292"
"AL","Ardmore Telephone Company",50,"7804"
"TN","Ardmore Telephone Company",10,"2359"
"TN","Ardmore Telephone Company",50,"1042"
